+   plus sign
⋳   element of with vertical bar at end of horizontal stroke
⋴   small element of with vertical bar at end of horizontal stroke
⋵   element of with dot above
⋶   element of with overbar
⋷   small element of with overbar
⋸   element of with underbar
⋹   element of with two horizontal strokes
⋺   contains with long horizontal stroke
⋻   contains with vertical bar at end of horizontal stroke
⋼   small contains with vertical bar at end of horizontal stroke
⋽   contains with overbar
⋾   small contains with overbar
⋿   z notation bag membership
⌈   left ceiling
⌉   right ceiling
⌊   left floor
⌋   right floor
⌠   top half integral
⌡   bottom half integral
⍼   right angle with downwards zigzag arrow
⎛   left parenthesis upper hook
⎜   left parenthesis extension
⎝   left parenthesis lower hook
⎞   right parenthesis upper hook
⎟   right parenthesis extension
⎠   right parenthesis lower hook
⎡   left square bracket upper corner
⎢   left square bracket extension
⎣   left square bracket lower corner
⎤   right square bracket upper corner
⎥   right square bracket extension
⎦   right square bracket lower corner
⎧   left curly bracket upper hook
⎨   left curly bracket middle piece
⎩   left curly bracket lower hook
⎪   curly bracket extension
⎫   right curly bracket upper hook
⎬   right curly bracket middle piece
⎭   right curly bracket lower hook
⎮   integral extension
⎯   horizontal line extension
⎰   upper left or lower right curly bracket section
⎱   upper right or lower left curly bracket section
⎲   summation top
⎳   summation bottom
⏜   top parenthesis
⏝   bottom parenthesis
⏞   top curly bracket
⏟   bottom curly bracket
⏠   top tortoise shell bracket
⏡   bottom tortoise shell bracket
▷   white right-pointing triangle
◁   white left-pointing triangle
◸   upper left triangle
◹   upper right triangle
◺   lower left triangle
◻   white medium square
◼   black medium square
◽  white medium small square
◾  black medium small square
◿   lower right triangle
♯   music sharp sign
⟀   three dimensional angle
⟁   white triangle containing small white triangle
⟂   perpendicular
⟃   open subset
⟄   open superset
⟇   or with dot inside
⟈   reverse solidus preceding subset
⟉   superset preceding solidus
⟊   vertical bar with horizontal stroke
⟌   long division
⟎   squared logical and
⟏   squared logical or
⟐   white diamond with centred dot
⟑   and with dot
⟒   element of opening upwards
⟓   lower right corner with dot
⟔   upper left corner with dot
⟕   left outer join
⟖   right outer join
⟗   full outer join
⟘   large up tack
⟙   large down tack
⟚   left and right double turnstile
⟛   left and right tack
⟜   left multimap
⟝   long right tack
⟞   long left tack
⟟   up tack with circle above
⟠   lozenge divided by horizontal rule
⟡   white concave-sided diamond
⟢   white concave-sided diamond with leftwards tick
⟣   white concave-sided diamond with rightwards tick
⟤   white square with leftwards tick
⟥   white square with rightwards tick
⟰   upwards quadruple arrow
⟱   downwards quadruple arrow
⟲   anticlockwise gapped circle arrow
⟳   clockwise gapped circle arrow
⟴   right arrow with circled plus
⟵   long leftwards arrow
⟶   long rightwards arrow
⟷   long left right arrow
⟸   long leftwards double arrow
⟹   long rightwards double arrow
⟺   long left right double arrow
⟻   long leftwards arrow from bar
⟼   long rightwards arrow from bar
⟽   long leftwards double arrow from bar
⟾   long rightwards double arrow from bar
⟿   long rightwards squiggle arrow
⤀   rightwards two-headed arrow with vertical stroke
⤁   rightwards two-headed arrow with double vertical stroke
⤂   leftwards double arrow with vertical stroke
⤃   rightwards double arrow with vertical stroke
⤄   left right double arrow with vertical stroke
⤅   rightwards two-headed arrow from bar
⤆   leftwards double arrow from bar
⤇   rightwards double arrow from bar
⤈   downwards arrow with horizontal stroke
⤉   upwards arrow with horizontal stroke
⤊   upwards triple arrow
⤋   downwards triple arrow
⤌   leftwards double dash arrow
⤍   rightwards double dash arrow
⤎   leftwards triple dash arrow
⤏   rightwards triple dash arrow
⤐   rightwards two-headed triple dash arrow
⤑   rightwards arrow with dotted stem
⤒   upwards arrow to bar
⤓   downwards arrow to bar
⤔   rightwards arrow with tail with vertical stroke
⤕   rightwards arrow with tail with double vertical stroke
⤖   rightwards two-headed arrow with tail
⤗   rightwards two-headed arrow with tail with vertical stroke
⤘   rightwards two-headed arrow with tail with double vertical stroke
⤙   leftwards arrow-tail
⤚   rightwards arrow-tail
⤛   leftwards double arrow-tail
⤜   rightwards double arrow-tail
⤝   leftwards arrow to black diamond
⤞   rightwards arrow to black diamond
⤟   leftwards arrow from bar to black diamond
⤠   rightwards arrow from bar to black diamond
⤡   north west and south east arrow
⤢   north east and south west arrow
⤣   north west arrow with hook
⤤   north east arrow with hook
⤥   south east arrow with hook
⤦   south west arrow with hook
⤧   north west arrow and north east arrow
⤨   north east arrow and south east arrow
⤩   south east arrow and south west arrow
⤪   south west arrow and north west arrow
⤫   rising diagonal crossing falling diagonal
⤬   falling diagonal crossing rising diagonal
⤭   south east arrow crossing north east arrow
⤮   north east arrow crossing south east arrow
⤯   falling diagonal crossing north east arrow
⤰   rising diagonal crossing south east arrow
⤱   north east arrow crossing north west arrow
⤲   north west arrow crossing north east arrow
⤳   wave arrow pointing directly right
⤴   arrow pointing rightwards then curving upwards
⤵   arrow pointing rightwards then curving downwards
⤶   arrow pointing downwards then curving leftwards
⤷   arrow pointing downwards then curving rightwards
⤸   right-side arc clockwise arrow
⤹   left-side arc anticlockwise arrow
⤺   top arc anticlockwise arrow
⤻   bottom arc anticlockwise arrow
⤼   top arc clockwise arrow with minus
⤽   top arc anticlockwise arrow with plus
⤾   lower right semicircular clockwise arrow
⤿   lower left semicircular anticlockwise arrow
⥀   anticlockwise closed circle arrow
⥁   clockwise closed circle arrow
⥂   rightwards arrow above short leftwards arrow
⥃   leftwards arrow above short rightwards arrow
⥄   short rightwards arrow above leftwards arrow
⥅   rightwards arrow with plus below
⥆   leftwards arrow with plus below
⥇   rightwards arrow through x
⥈   left right arrow through small circle
⥉   upwards two-headed arrow from small circle
⥊   left barb up right barb down harpoon
⥋   left barb down right barb up harpoon
⥌   up barb right down barb left harpoon
⥍   up barb left down barb right harpoon
⥎   left barb up right barb up harpoon
⥏   up barb right down barb right harpoon
⥐   left barb down right barb down harpoon
